Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
ps1,Namco,Namco Museum Volume 3,Namco Museum,E,Compilation,1998-05-27,Namco,1-2,722674020619,1124510,Collection
wii,Namco Bandai Games,Namco Museum: Remix,Namco Museum,E,"Compilation, Arcade",2007-10-23,Namco Bandai Games,1-4,722674800020,1463842,Collection
xboxone,704Games,NASCAR Heat 4,NASCAR Heat,E,Racing,2019-09-10,Monster Games,1-40,869769000153,1718275,Collection
wii,Activision,NASCAR The Game: Inside Line,NASCAR The Game,E,Racing,2012-11-06,Eutechnyx,1-4,047875769823,1272755,Collection
Sony PlayStation 5 (PS5),Focus Home Interactive,Necromunda: Hired Gun,"Warhammer 40,000",M,"Action, Adventure, First Person Shooter",2021-06-01,Streumon Studio,1,859529007911,1735138,Collection
ps2,Electronic Arts,Need for Speed: Underground 2,Need for Speed,E,Racing,2004-11-15,Electronic Arts,2,014633148435,1328894,Collection
xboxone,Electronic Arts,Need for Speed: Payback,Need for Speed,T,"Racing, Simulation",2017-11-10,Ghost Games,1,014633370058,1534942,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Need for Speed,Need for Speed,T,Racing,2015-11-03,Ghost Games,1,014633368611,943971,Collection
xboxone,Electronic Arts,Need for Speed: Heat,Need for Speed,T,Racing,2019-11-08,Ghost Games,2-16,014633373233,1716676,Collection
ps3,Electronic Arts,Need for Speed: Most Wanted (Bonus Edition),Need for Speed,E10+,Racing,2012-10-30,Criterion Games,1-12,014633730807,1569045,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Need for Speed: Rivals,Need for Speed,E10+,Racing,2013-11-15,Ghost Games,1-6,014633730623,1294661,Collection
seriesx,Electronic Arts,Need for Speed: Unbound,Need for Speed,T,Racing,2022-11-29,Criterion Games,1-16,014633742664,1879613,Collection
xbox,Electronic Arts/EA Games,Need for Speed: Underground,,E,Racing,2003-11-17,Electronic Arts/EA Games,1-2,014633147032,971791,Collection
3ds,Nintendo,New Super Mario Bros. 2,Super Mario,E,Platform,2012-08-19,Nintendo EAD,1-2,generic20150410115613472,1434507,Collection
wii,Nintendo,New Super Mario Bros.,Super Mario,E,Platform,2009-11-15,Nintendo EAD,1-4,045496901738,891558,Collection
Sony PlayStation 4 (PS4),2K Games,New Tales from the Borderlands: Deluxe Edition,Borderlands,M,Adventure,2022-10-21,Gearbox Software,1,710425579875,1869727,Collection
Sony PlayStation 5 (PS5),2K Games,New Tales From The Borderlands (Deluxe Edition),Borderlands,M,"Action, Adventure",2022-10-21,Gearbox Studio Québec,1,710425579899,1869233,Collection
snes,Acclaim Entertainment,Newman/Haas IndyCar featuring Nigel Mansell,IndyCar,K-A,Racing,1994-12-01,Gremlin Interactive,1-2,nocode20171015182122140,1413639,Collection
wii,2K Play,Nickelodeon Fit,Nickelodeon Fit,E,Fitness,2010-11-09,High Voltage Software,1,710425348396,1059470,Collection
snes,GameTek,Nigel Mansell’s World Championship Racing,Nigel Mansell,Not Rated,Racing,1993-06-12,Gremlin Graphics,1,045496330095,1110148,Collection
ds,Nintendo,Nintendogs: Dachshund & Friends,Nintendogs,E,Simulation,2005-08-22,Nintendo EAD,1-2,045496735517,1575201,Collection
ps3,Codemasters,Operation Flashpoint: Dragon Rising,Operation Flashpoint,M,Tactical Shooter,2009-10-06,Codemasters,1-8,767649402519,959813,Collection
ps2,Global Star,Outlaw Golf 2,Outlaw Golf,M,Sports,2004-11-24,Hypnotix,4,710425274466,929859,Collection
xbox360,,Perfect Dark Zero - Collector’s Edition,,,First Person Shooter,1969-12-31,,1,nocode20120920000757827,1222127,Collection
psp,Activision,Pimp My Ride,Pimp My Ride,T,"Racing, Simulation",2007-04-24,Eutechnyx,1,047875753013,988538,Collection
ps2,Buena Vista Games,Pirates of the Caribbean: At World's End,Pirates of the Caribbean,T,Action,2007-05-22,Disney Interactive,2,712725002152,929761,Collection
ps2,Bethesda Softworks,Pirates of the Caribbean: The Legend of Jack Sparrow,Pirates of the Caribbean,T,Action,2006-06-28,Bethesda Softworks,1-2,093155119901,1424161,Collection
ps2,Valcon Games,Pirates: Legend of the Black Buccaneer,Pirates,T,Adventure,2006-08-15,Valcon Games,1,853333001127,1574251,Collection
genesis,Activision,Pitfall: The Mayan Adventure,Pitfall,K-A,"Action, Platform",1994-11-01,Activision,1,047875340169,1027543,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Plants vs. Zombies: Battle for Neighborville,Plants vs. Zombies,E10+,Third Person Shooter,2019-10-18,PopCap Games,1-2,014633370768,1716131,Collection
xbox360,EA Electronic Arts,Plants vs. Zombies: Garden Warfare,,E10+,Third Person Shooter,2014-02-25,PopCap,1,014633730388,1355739,Collection
ps3,Sony Computer Entertainment,PlayStation Move Heroes,PlayStation,E,Action,2011-03-22,Nihilistic Software,2,711719824824,1524624,Collection
xbox360,Valve,Portal 2,Portal,E10+,"Adventure, First Person Shooter, Platform, Puzzle",2011-04-19,Nuclear Monkey Software,2,014633098815,1059054,Collection
xboxone,Bethesda Softworks,Prey,Prey,M,First Person Shooter,2017-05-05,Arkane Studios,1,093155171473,899600,Collection
psp,Ubisoft,Prince of Persia: Rival Swords,Prince of Persia,T,"Action, Adventure",2007-04-03,Pipeworks Software,1,008888332824,934824,Collection
ps2,Ubisoft,Prince of Persia: The Two Thrones,Prince of Persia,M,"Action, Adventure, Platform",2005-12-01,Ubisoft Montreal,1,008888322825,990365,Collection
xboxone,Bandai Namco Entertainment,Project CARS 2: Day One Edition,Project CARS,E,Racing,2017-09-22,Slightly Mad Studios,1-32,722674220989,1548775,Collection
xboxone,Bandai Namco Entertainment,Project CARS 3,Project CARS,E,Racing,2020-08-28,Slightly Mad Studios,1-20,722674221245,1721174,Collection
xbox,Microsoft Game Studios,Project Gotham Racing - Platinum Hits,Project Gotham Racing,E,Racing,2001-09-11,Bizarre Creations,4,659556745141,991287,Collection
xbox,Microsoft Game Studios,Project Gotham Racing 2,Project Gotham Racing,E,Racing,2003-11-17,Bizarre Creations,2,805529569553,925779,Collection
xbox360,Microsoft Game Studios,Project Gotham Racing 3,,E10+,Racing,2005-11-16,Bizarre Creations,2,882224053488,934278,Collection
xbox360,Microsoft Game Studios,Project Gotham Racing 4,,E,Racing,2007-10-02,Bizarre Creations,2,882224521000,900014,Collection
ps1,Konami,Project Overkill,Project Overkill,M,"Action, Shooter",1996-08-28,Konami,1,083717170099,1404484,Collection
Sony PlayStation 4 (PS4),Bandai Namco Entertainment,Project CARS,Project CARS,E,Racing,2015-05-12,Slightly Mad Studios,1-16,722674120173,1375147,Collection
ps3,Activision,Prototype,Prototype,M,"Action, Adventure",2009-06-09,Radical Entertainment,1,047215636136,899920,Collection
xboxone,Microsoft Studios,Quantum Break,Quantum Break,M,"Action, Adventure, Third Person Shooter",2016-04-05,Remedy Entertainment,1,nocode20160802004327963,1291303,Collection
n64,THQ,Quest 64,Quest 64,E,Role-Playing Game,1998-06-01,Imagineer,1,785138301037,1018436,Collection
xbox360,Ubisoft,Rabbids: Alive & Kicking,,E10+,"Adventure, Compilation",2011-03-11,Ubisoft Montpellier,,008888526964,1345959,Collection
nes,Square,Rad Racer II,Rad Racer,Not Rated,Racing,1990-06-01,Square,1,094689101028,1070723,Collection
ps3,Bethesda Softworks,RAGE,RAGE,M,"Action, Adventure, First Person Shooter, Racing",2011-10-04,id Software,1-4,093155117440,1177880,Collection
xboxone,Bethesda Softworks,Rage 2: Deluxe Edition,Rage,M,"Action, Adventure, First Person Shooter, Racing, Role Playing Game, Sandbox",2019-05-14,Avalanche Studios; id Software,1,093155174085,1714226,Collection
ps2,Ubisoft,Tom Clancy's Rainbow Six 3,Tom Clancy's Rainbow Six,M,Tactical Shooter,2004-03-23,Ubisoft Shanghai,1-2,3307210167491,974578,Collection
ps3,Sony Computer Entertainment,Ratchet & Clank: All 4 One,Ratchet & Clank,E10+,Action,2011-11-18,Insomniac Games,1-4,711719126898,1180578,Collection
Sony PlayStation 5 (PS5),Sony Interactive Entertainment,Ratchet and Clank Rift Apart,Ratchet & Clank,E,Action,2021-06-11,Insomniac Games,1,711719548256,1731869,Collection
wii,Ubisoft,Raving Rabbids: Travel in Time,Rabbids,E10+,Party,2010-11-21,Ubisoft Paris,1-4,008888176053,1043221,Collection
wii,Ubisoft,Rayman Raving Rabbids,Rabbids,E10+,Party,2006-11-19,Ubisoft Montpellier,1-4,008888173199,921074,Collection
wii,Ubisoft,Rayman Raving Rabbids 2,Rabbids,E10+,Party,2007-11-13,Ubisoft Paris,1-4,008888173830,947196,Collection
wii,Ubisoft,Rayman Raving Rabbids: TV Party Complete,Rabbids,E10+,Party,2008-11-18,Ubisoft Paris,1-4,008888174950,1141098,Collection
ps2,XS Games,Rebel Raiders: Operation Nighthawk,Rebel Raiders,E10+,"Action, Simulation, Flight Simulator",2006-03-21,KANDO,1,780332087923,1305913,Collection
ps3,Rockstar Games,Red Dead Redemption,Red Dead,M,"Action, Adventure, Sandbox, Third Person Shooter",2010-05-18,Rockstar San Diego,1-16,710425378140,1579664,Collection
xboxone,Rockstar Games,Red Dead Redemption II,Red Dead Redemption,M,"Action, Adventure",2018-10-26,Rockstar Studios,1-2,710425498916,1708492,Collection
xbox360,Rockstar Games,Red Dead Redemption Undead Nightmare,,M,"Sandbox, Third Person Shooter, Horror",2010-11-21,Rockstar Games,12,710425399329,1042838,Collection
ps2,Rockstar Games,Red Dead Revolver,Red Dead,M,"Action, Third Person Shooter",2004-03-05,Rockstar San Diego,1,710425273797,951226,Collection
ps2,THQ,Red Faction,Red Faction,M,First Person Shooter,2001-05-22,Volition Inc.,2,752919460030,945711,Collection
ps3,THQ,Red Faction: Guerrilla,Red Faction,M,"Action, Third Person Shooter",2009-06-02,Volition Inc.,1-16,752919990476,927730,Collection
ps2,THQ,Red Faction II,Red Faction,M,"Action, First Person Shooter",2002-10-16,Volition Inc.,4,752919460146,987185,Collection
ps3,THQ,Red Faction: Armageddon,Red Faction,M,Third Person Shooter,2011-06-02,Volition Inc.,1-4,752919991954,1236783,Collection
Sony PlayStation 4 (PS4),THQ Nordic,Red Faction: Guerrilla Re-Mars-tered,Red Faction,M,Third Person Shooter,2018-07-05,Kaiko,1,811994021601,1710626,Collection
wii,Ubisoft,Red Steel 2,Red Steel,T,"Action, First-Person Shooter",2010-03-23,Ubisoft Paris,1,008888174172,971925,Collection
ps3,Capcom,Resident Evil 5,Resident Evil,M,"Action, Third Person Shooter",2009-03-13,Capcom,1-4,013388340088,904156,Collection
Sony PlayStation 4 (PS4),Capcom,Resident Evil 7: Biohazard,Resident Evil,M,"Action, Adventure, Horror",2017-01-24,Capcom,1,013388560288,1493109,Collection
ps3,Sony Computer Entertainment,Resistance 2,Resistance,M,First Person Shooter,2008-11-04,Insomniac Games,1-60,711719812029,899015,Collection
ps3,Sony Computer Entertainment,Resistance 3,Resistance,M,First Person Shooter,2011-09-06,Insomniac Games,1-16,711719817628,1150787,Collection
ps3,Sony Computer Entertainment,Resistance: Fall of Man,Resistance,M,First Person Shooter,2006-11-14,Insomniac Games,1-40,711719810728,1330777,Collection
psp,Sony Computer Entertainment,Resistance: Retribution,Resistance,M,Third Person Shooter,2009-03-17,Bend Studio,1-8,711719866824,929034,Collection
Sony PlayStation 5 (PS5),Sony Interactive Entertainment,Returnal,Returnal,T,"Action, Adventure, Third Person Shooter",2021-04-30,Housemarque,1,711719541165,1730370,Collection
Sony PlayStation 4 (PS4),Bandai Namco Entertainment,RIDE,RIDE,E,Racing,2015-10-06,Milestone,1-2,722674120081,1257861,Collection
ps3,MTV Games,Rock Band,Rock Band,T,Music,2007-11-20,Harmonix Music Systems,4,014633158700,906489,Collection
xboxone,Electronic Arts,Rocket Arena Mythic Edition,Rocket Arena,T,"Action, Third Person Shooter",2020-07-14,Final Strike Games,1-6,014633744095,1723228,Collection
Sony PlayStation 4 (PS4),Ubisoft,Rocksmith 2014 Edition,Rocksmith,T,"Educational, Music, Simulation",2014-11-04,Ubisoft San Francisco,1-2,3307215834152,1341051,Collection
n64,Midway Games,Rush 2: Extreme Racing USA,Rush,E,Racing,1998-11-10,Atari Games,1-2,031719198061,1030644,Collection
xboxone,Microsoft Studios,Ryse: Son of Rome,Ryse,M,"Action, Adventure",2013-11-22,Crytek,1-2,885370662221,1302979,Collection
gba,Activision,Shrek 2,Shrek,E,"Action, Adventure",2004-05-03,Vicarious Visions,1,nocode20150323105522329,905049,Collection
ps2,Sony Computer Entertainment,SOCOM 3: U.S. Navy SEALs,SOCOM U.S. Navy SEALs,M,"Strategy, Third Person Shooter",2005-10-11,Zipper Interactive,1,711719747420,1358607,Collection
ps3,Sony Computer Entertainment,SOCOM 4 U.S. Navy SEALs,SOCOM U.S. Navy SEALs,M,Third Person Shooter,2011-04-19,Zipper Interactive,1-32,711719813521,1569667,Collection
ps2,Sony Interactive Entertainment,SOCOM U.S. Navy SEALs,SOCOM U.S. Navy SEALs,M,Third Person Shooter,2002-08-27,Zipper Interactive,1,711719713425,1396339,Collection
ps2,Sony Computer Entertainment,SOCOM U.S. Navy SEALs: Combined Assault,SOCOM U.S. Navy SEALs,T,"Strategy, Third Person Shooter",2006-11-07,Zipper Interactive,1,711719754527,1417826,Collection
psp,Sony Computer Entertainment,SOCOM: U.S. Navy SEALs Fireteam Bravo,SOCOM,M,Tactical Third Person Shooter,2005-11-08,Zipper Interactive,1-16,711719861522,1545669,Collection
psp,Sony Computer Entertainment,SOCOM: Tactical Strike,SOCOM,T,Tactical Shooter,2007-11-06,Slant Six Games,1-4,711719864929,1154634,Collection
psp,Sony Computer Entertainment,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,SOCOM,T,Tactical Third Person Shooter,2006-11-07,Zipper Interactive,1-16,711719864523,1165111,Collection
ps2,Sony Computer Entertainment,SOCOM II: U.S. Navy SEALs,SOCOM U.S. Navy SEALs,M,Action,2003-11-04,Zipper Interactive,1,711719727521,1358609,Collection
psp,Sony Computer Entertainment,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,SOCOM,T,Tactical Third Person Shooter,2010-02-16,Slant Six Games,1-16,71172187,952171,Collection
ps2,Sierra Entertainment,SWAT: Global Strike Team,SWAT,M,First Person Shooter,2003-11-29,Argonaut Games,1-4,020626718639,1048077,Collection
xbox360,THQ,Saints Row,Saints Row,M,"Action, Adult, Adventure, Sandbox, Third Person Shooter",2009-06-01,Volition Inc.,12,022122907708,924245,Collection
xbox360,THQ,Saints Row 2,Saints Row,M,"Action, Adventure, Sandbox, Simulation, Third Person Shooter",2008-10-14,Volition,1-12,752919550304,894415,Collection
Sony PlayStation 5 (PS5),Deep Silver,Saints Row Day 1 Edition,Saints Row,M,"Action, Adventure, Sandbox",2022-08-23,Volition,1-2,816819019344,1861780,Collection
xboxone,Deep Silver,Saints Row IV: Re-Elected,Saints Row,M,"Action, Adventure, Sandbox, Side Scrolling, Simulation, Third Person Shooter",2015-01-20,High Voltage Software,1-2,nocode20160419181510657,1399794,Collection
xboxone,Deep Silver,Saints Row: The Third Remastered,Saints Row,M,"Adult, Sandbox, Third Person Shooter",2020-05-22,Sperasoft; Volition,1-2,816819017630,1718955,Collection
xboxone,Deep Silver,Saints Row: Gat Out of Hell,Saints Row,M,"Action, Adventure, Sandbox, Third Person Shooter",2015-01-20,Volition; High Voltage Software,1-2,nocode20150801061936373,1384147,Collection
xbox360,,Scene It? Box Office Smash,,,Trivia,1969-12-31,,,nocode20100623203220910,1081539,Collection
gba,THQ,Scooby-Doo 2: Monsters Unleashed,Scooby-Doo,E,"Action, Platform",2004-03-16,Altron,1,nocode20180125143101077,1562832,Collection
xbox360,Sega,Sega Rally Revo,,E,Racing,1969-12-31,,1-2,4974365881115,984843,Collection
genesis,Sega,Shadow Dancer: The Secret of Shinobi,Shinobi,Not Rated,"Action, Platform",1990-12-01,Sega,1,010086011142,1162397,Collection
xboxone,Square Enix,Shadow of the Tomb Raider,Tomb Raider,M,"Action, Adult, Adventure",2018-09-14,Eidos-Montréal; Crystal Dynamics,1,662248921310,1708389,Collection
ps2,Eidos Interactive,ShellShock: Nam '67,ShellShock,M,"Action, Third Person Shooter",2004-09-14,Guerrilla Games,1,788687500227,1143446,Collection
ps2,Activision,Shrek 2,Shrek,E,"Action, Adventure",2004-05-03,Vicarious Visions,1,047875807495,1302780,Collection
xbox360,Electronic Arts,Simpsons Game,The Simpsons Games,T,"Action, Adventure",2007-10-30,EA Redwood Shores,1-2,014633155631,1094207,Collection
ps2,Vivendi Universal Games,The Simpsons: Hit & Run,The Simpsons,T,"Action Adventure, Driving",2003-09-16,Radical Entertainment,1,020626721110,980001,Collection
ps2,Sony Computer Entertainment,Siren,Siren,M,"Action, Stealth, Horror",2004-04-20,Sony Computer Entertainment Japan,1,711719735526,942843,Collection
snes,American Softworks,Skuljagger,Sküljagger,Not Rated,"Action, Platform",1992-10-01,Realtime Associates,1,729627121058,1219740,Collection
ps1,THQ,WWF SmackDown! 2: Know Your Role,WWE SmackDown!,T,"Sports, Wrestling",2000-11-21,Yuke's,1-4,nocode20160613164154992,1492778,Collection
xbox,King Games,Sneak King,,E,"Action, Stealth",2006-11-19,Blitz Games,1,805529120648,1026376,Collection
xbox,Namco,Sniper Elite,Sniper Elite,M,First Person Shooter,1969-12-31,", Rebellion",1,722674200127,915987,Collection
xbox360,505 Games,Sniper Elite 2 V2,,M,First Person Shooter,2012-05-01,505 Games/Rebellion,2,812872011462,1246518,Collection
Sony PlayStation 4 (PS4),505 Games,Sniper Elite 3,Sniper Elite,M,"Third Person Shooter, Stealth",2014-07-01,Rebellion,1,812872018010,1346230,Collection
Sony PlayStation 4 (PS4),CI Games S.A.,Sniper Ghost Warrior 3,Sniper: Ghost Warrior,M,"Action, Adventure, First Person Shooter, Sandbox, Stealth",2017-04-25,CI Games,1,nocode20170415214740688,1447270,Collection
Sony PlayStation 4 (PS4),CI Games,Sniper Ghost Warrior Contracts,Sniper: Ghost Warrior,M,First Person Shooter,2019-11-22,CI Games,1,816293016211,1715311,Collection
Sony PlayStation 4 (PS4),CI Games,Sniper Ghost Warrior Contracts 2,Sniper: Ghost Warrior,M,First Person Shooter,2021-06-04,CI Games,1,816293016273,1760835,Collection
xbox360,City Interactive,Sniper: Ghost Warrior,,M,First Person Shooter,2011-08-09,City Interactive,12,897749002569,1123729,Collection
xbox360,City Interactive,Sniper: Ghost Warrior 2,,M,Action,2013-03-12,City Interactive,1,816293013036,1202368,Collection
Sony PlayStation 4 (PS4),Focus Home Interactive,SnowRunner,SnowRunner,E,Simulation,2020-04-28,Saber Interactive,1-4,3512899122956,1723314,Collection
ps3,Sony Computer Entertainment,SOCOM: U.S. Navy SEALs Confrontation,SOCOM U.S. Navy SEALs,M,Third Person Shooter,2008-10-14,Slant Six Games,32,711719818328,1367132,Collection
xbox360,,Soldier Of Fortune Payback,,,First Person Shooter,1969-12-31,,,052911150664,971984,Collection
xboxone,Sega,Sonic Forces,Sonic the Hedgehog,E10+,Adventure,2017-11-07,Sonic Team,1,010086640731,1526332,Collection
switch,Sega,Sonic Frontiers,Sonic,E10+,Adventure,2022-11-08,Team Sonic,1,010086770278,1877345,Collection
gba,Sega,Sonic the Hedgehog,Sonic the Hedgehog,E,Platform,2006-11-14,Sonic Team,1,nocode20120816203037101,926538,Collection
genesis,Sega,Sonic the Hedgehog,Sonic the Hedgehog,E,Platform,2006-11-14,Sonic Team,1,010086010091,1532305,Collection
Sony PlayStation 4 (PS4),Ubisoft,South Park: The Fractured But Whole,South Park,M,Role Playing Game,2017-10-17,Ubisoft San Francisco,1,3307215917404,1446093,Collection
Sony PlayStation 4 (PS4),Ubisoft,South Park: The Stick of Truth,South Park,M,"Adventure, Role Playing Game",2018-02-13,Obsidian Entertainment,1,887256033934,1303045,Collection
Sony PlayStation 4 (PS4),Sony Interactive Entertainment,Marvel's Spider-Man,Marvel's Spider-Man,T,Action,2018-09-07,Insomniac Games,1,711719506126,1708066,Collection
Sony PlayStation 5 (PS5),PlayStation Studios,Spider-Man Miles Morales (Ultimate Edition),Marvel's Spider-Man,T,Action,2020-11-12,Insomniac Games,1,711719541110,1730344,Collection
ps2,Ubisoft,Tom Clancy's Splinter Cell,Tom Clancy's Splinter Cell,T,Stealth,2003-04-08,Ubisoft Shanghai,1,nocode20140708154408669,901781,Collection
switch,THQ Nordic,SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,SpongeBob SquarePants,E10+,"Action, Adventure, Platform",2020-06-23,Purple Lamp Studios,1-2,811994022141,1719302,Collection
gba,THQ,SpongeBob SquarePants: Battle for Bikini Bottom,SpongeBob SquarePants,E,"Action, Platform",2003-10-21,Vicarious Visions,1,4005209055284,1155568,Collection
ps3,Sony Computer Entertainment,Sports Champions,Sports Champions,E10+,Sports,2010-09-07,Zindagi Games,1-4,711710155477,1575712,Collection
xboxone,Activision,Spyro Reignited Trilogy,Spyro,E10+,"Action, Adventure, Fantasy, Platform",2018-11-13,Toys For Bob,1,047875882423,1708636,Collection
Sony PlayStation 4 (PS4),(EA) Electronic Arts,Star Wars Battlefront,Star Wars: Battlefront,T,"Action, MMOFPS",2015-11-17,DICE,1 - 40,014633368680,949358,Collection
n64,LucasArts,Star Wars: Episode I Racer,Star Wars,E,Racing,1999-05-18,LucasArts,1-2,04547761,981670,Collection
xboxone,Electronic Arts,Star Wars: Battlefront,Star Wars,T,"First Person Shooter, Third Person Shooter",2015-11-17,DICE,1,014633368697,936030,Collection
Sony PlayStation 4 (PS4),Electronic Arts,Star Wars: Squadrons,Star Wars,T,"First Person Shooter, Flight Simulator",2020-10-02,EA Motive,1,014633741650,1722059,Collection
xbox360,LucasArts,Star Wars: The Force Unleashed,Star Wars: The Force Unleashed,T,Action,2008-09-16,LucasArts,1,023272332761,892417,Collection
xbox360,LucasArts,Star Wars: The Force Unleashed 2,Star Wars The Force Unleashed,T,"Action, Adventure, Hack n’ Slash",2010-10-26,LucasArts,1,023272341763,1040617,Collection
Sony PlayStation 4 (PS4),Rebellion Developments,Strange Brigade,Strange Brigade,T,Third Person Shooter,2018-08-28,Rebellion Developments,1,812303011580,1708274,Collection
ps2,The Game Factory,Strawberry Shortcake: The Sweet Dreams Game,Strawberry Shortcake,E,Adventure,2006-10-30,EKO Software,1,855433001106,941479,Collection
genesis,Capcom,Street Fighter II: Special Champion Edition,Street Fighter,T,Fighting,1993-09-28,Capcom,1-2,013388160013,1178335,Collection
xboxone,GameMill Entertainment,Street Outlaws 2: Winner Takes All,Street Outlaws,E,Racing,2021-09-21,Team6 Game Studios,1-2,856131008510,1835241,Collection
Sony PlayStation 4 (PS4),GameMill Entertainment,Street Outlaws: The List,Street Outlaws,T,Racing,2019-10-22,Team6 Game Studios,1-2,856131008114,1724191,Collection
ps2,Atari,Stuntman,Stuntman,T,"Racing, Action",2002-09-06,Reflections Interactive,1,742725226395,935296,Collection
xboxone,Gearbox Publishing,Subnautica,Subnautica,E10+,"Action, Adventure",2018-12-04,Unknown Worlds Entertainment,1,850942007595,1711246,Collection
seriesx,Bandai Namco Entertainment,Subnautica: Below Zero,Subnautica,E10+,"Action, Adventure, Survival",2021-05-14,Unknown Worlds Entertainment,1,722674240055,1731193,Collection
genesis,Sega,Super Hang-On,Hang-On,Not Rated,Racing,1989-10-06,Sega AM2,1,010086011036,1143307,Collection
switch,Nintendo,Super Mario 3D All-Stars,Super Mario Bros.,E,"Action, Adventure, Platform",2020-09-18,Nintendo,1,045496596743,1721289,Collection
3ds,Nintendo,Super Mario 3D Land,Super Mario,E,Platform,2011-11-13,Nintendo EAD Tokyo,1,045496476540,1159661,Collection
n64,Nintendo,Super Mario 64,Super Mario,E,Platform,1996-09-29,Nintendo EAD,1,045496870010,969316,Collection
nes,Nintendo,Super Mario Bros. / Duck Hunt,Super Mario / Duck Hunt,Not Rated,"Platform, Light Gun",1988-11-01,Nintendo R&D4,1-2,nocode20130808060211299,1161615,Collection
wii,Nintendo,Super Mario Galaxy,Super Mario,E,Platform,2007-11-12,Nintendo EAD Tokyo,1-2,045496902612,891921,Collection
switch,Nintendo,Super Mario Maker 2,Mario Bros.,E,"Platform, Sandbox, Side Scrolling",2019-06-28,"Nintendo of America, Inc.",1-4,045496596484,1712777,Collection
3ds,Nintendo,Super Mario Maker for Nintendo 3DS,Super Mario Maker,E,"Platform, Creation",2016-12-02,Nintendo EAD,1,045496744472,1511243,Collection
switch,Nintendo,Super Mario Odyssey,Super Mario Bros.,E10+,Platform,2017-10-27,Nintendo,2,045496590741,1518758,Collection
snes,Nintendo,Super Mario World,Super Mario,Not Rated,Platform,1991-08-23,Nintendo EAD,1-2,000000368032,912715,Collection
snes,Tradewest,Super Off Road: The Baja,Super Off Road,K-A,Racing,1993-12-01,Software Creations,1-2,nocode20141012154519739,1390243,Collection
n64,Nintendo,Super Smash Bros.,Super Smash Bros.,E,Fighting,1999-04-26,HAL Laboratory,1-4,045496870461,998184,Collection
switch,Nintendo,Super Smash Bros. Ultimate,Super Smash Bros.,E10+,Fighting,2018-12-07,Nintendo,1-8,045496592998,1709108,Collection
ps2,XS Games,Super Trucks Racing,Super Trucks Racing,E,Racing,2003-10-28,XS Games,2,780332057483,1356201,Collection
ps2,Sony Computer Entertainment,Suzuki TT Superbikes: Real Road Racing,Suzuki TT Superbikes,E,Racing,2005-08-05,Jester,1-2,853333001028,1565235,Collection
xboxone,Electronic Arts,Titanfall,Titanfall,M,First Person Shooter,2014-03-11,Respawn Entertainment,2-12,nocode20160630153751969,1357519,Collection
gba,Konami,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,E,"Action, Platform",2003-10-21,Konami,1-2,nocode20110422080757689,963278,Collection
ps2,Atari,Test Drive,Test Drive,T,"Racing, Simulation",2002-05-28,Pitbull Syndicate,2,742725226418,1391522,Collection
ps3,Activision,The Amazing Spider-Man,Spider-Man,T,"Action, Adventure, Sandbox",2012-06-26,Beenox,1,047875843479,1365274,Collection
Sony PlayStation 5 (PS5),KRAFTON,The Callisto Protocol - Day One Edition,The Callisto Protocol,M,"Action, Adventure, Horror",2022-12-02,Striking Distance Studios,1,811949034441,1879524,Collection
xbox360,dtp Entertainment AG,The Cursed Crusade,,,Action,2011-10-01,Kt Games,1-2,4017244028888,1175250,Collection
ps1,SouthPeak Interactive,The Dukes of Hazzard: Racing for Home,The Dukes of Hazzard,E,Racing,1999-11-30,Sinister Games,1-2,612561138230,1108219,Collection
ps3,Bethesda Softworks,The Elder Scrolls IV: Oblivion – Game of the Year Edition,The Elder Scrolls,M,Role Playing Game,2007-10-16,Bethesda Game Studios,1,093155126107,1580384,Collection
Sony PlayStation 4 (PS4),Bethesda Softworks,The Elder Scrolls Online: Tamriel Unlimited,The Elder Scrolls,M,MMORPG,2015-06-09,Zenimax Online Studios,1,093155160255,1442978,Collection
ps2,Namco Bandai Games,The Fast and the Furious,The Fast and the Furious,T,Racing,2006-09-06,Eutechnyx Limited,1-2,722674100496,1010907,Collection
ps2,Sony Computer Entertainment,The Getaway: Black Monday,The Getaway,M,"Action, Adventure, Fighting, Platform",2005-01-11,Team Soho,1,711719740827,1121565,Collection
switch,Outright Games,The Grinch: Christmas Adventures,How the Grinch Stole Christmas,E,"Action, Platform",2023-10-13,Casual Brothers,1-2,819338022895,1920516,Collection
wii,Sega,The House of the Dead 2 & 3 Return,The House of the Dead,M,"Rail Shooter, Horror",2008-03-11,Sega,1-2,010086650167,1193116,Collection
gba,THQ,The Incredibles,The Incredibles,E,"Action, Platform",2004-10-28,Helixe,1,125138381781,955305,Collection
ps2,SNK Playmore,The King of Fighters XI,The King of Fighters,T,Fighting,2007-11-13,SNK Playmore,2,828862200310,1347517,Collection
