Platform,Publisher,Title,Series,Rating,Genre,Release Date,Developers,Players,Barcode,Item ID, Collection/Wishlist
ps2,Sony Computer Entertainment Europe,Killzone,Killzone,M,"Action, First Person Shooter",2004-11-02,Guerrilla Games,2,711719740223,923185,Collection
ps3,Sony Computer Entertainment,Killzone 2,Killzone,M,"Action, First Person Shooter",2009-02-26,Guerrilla Games,1,711719811626,896388,Collection
ps3,Sony Computer Entertainment,Killzone 3,Killzone,M,First Person Shooter,2011-02-22,Guerrilla Games,1-24,711719823421,1053908,Collection
psp,Sony Computer Entertainment,Killzone: Liberation,Killzone,T,Third Person Shooter,2006-10-31,Guerrilla Games,1-6,711719864622,1088122,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,Killzone: Shadow Fall,Killzone,M,First Person Shooter,2013-11-15,Guerrilla Games,1,711719100089,1302252,Collection
xbox360,Microsoft Game Studios,Kinect Adventures,,,"Adventure, Puzzle",2010-11-04,Good Science Studio,2,000006592370,1041646,Collection
xbox360,Microsoft,Kinect Sports,,E,"Adventure, First Person Shooter",2010-04-11,Has DLC,2,799007790709,1037856,Collection
xbox360,Microsoft Game Studios,Kinectimals,,E,Adventure,2011-11-10,Frontier Developments,4,885370217322,1038414,Collection
xbox360,Activision,Kung Fu Panda,,,"Action, Adventure",2005-03-08,Luxoflux,4,047875833418,907956,Collection
xbox360,Rockstar Games,L.A. Noire,,M,"Action, Adventure, Third Person Shooter",2011-05-17,Team Bondi,1,710425398032,1118226,Collection
psvita,Warner Bros. Interactive Entertainment,LEGO Batman 3: Beyond Gotham,LEGO Batman,E10+,"Action, Adventure",2014-11-11,TT Fusion,1,883929427277,1708089,Collection
Sony PlayStation 4 (PS4),Warner Bros Entertainment,LEGO Batman 3: Beyond Gotham,LEGO Batman,E10+,"Action, Adventure",2014-11-14,Traveler’s Tales,1,883929427406,1708029,Collection
xbox,Eidos Interactive,Lara Croft Tomb Raider: Legend,,T,Action,2006-04-11,Crystal Dynamics,1,788687200394,925544,Collection
Sony PlayStation 4 (PS4),Sony Computer Entertainment,The Last of Us Remastered,The Last of Us,M,Adventure,2014-08-01,Naughty Dog,1,711719051794,1359724,Collection
xbox360,Electronic Arts/EA Games,Left 4 Dead: 2,Left 4 Dead,M,Action,2009-11-17,Valve Corporation,4,014633098778,898656,Collection
Sony PlayStation 4 (PS4),Warner Bros. Interactive Entertainment,LEGO Dimensions,LEGO Dimensions,E10+,"Action, Adventure, Fantasy",2015-09-27,Traveller's Tales,1-2,5051892187336,1433938,Collection
ds,THQ,Let’s Ride! Friends Forever,Let’s Ride,E,Simulation,2008-09-16,Frontline Studios,1,785138361468,1024507,Collection
wii,Nintendo,Link’s Crossbow Training,The Legend of Zelda,T,Rail Shooter,2007-11-19,Nintendo EAD,1,045496364632,950157,Collection
ps3,Sony Computer Entertainment,LittleBigPlanet 2,LittleBigPlanet,E,"Platform, Sandbox",2011-01-18,Media Molecule,1-4,711719824527,1049909,Collection
